admin1,fever,access,formal,test,fline,othrantimal,compl_f,compl_i,hcnobeds,hcbeds,govcntr,chw,opd,urban,year,obs,admin_level,admin1_num,eff_cov,eff_cov_raw,country,survey,country_fline,country_othrantimal,c_missing,imputed,scaling,source
atacora,0.518347863,0.541628522,0.628771008,NA,0,0.701509263,0,0,0.718326567,0.024292638,0.686038775,0.048278098,0.209102697,0.325363201,2001,700,region,1,0.251896286,0.251896286,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.465072049,Rémi
atlantique,0.353975849,0.476801976,0.697240888,NA,0,0.701509263,0,0,0.512748753,0.269334419,0.330573807,0.00729544,0.210621387,0.551515052,2001,1009,region,2,0.227457158,0.227457158,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.477047431,Rémi
borgou,0.465282761,0.557762785,0.618526158,NA,0,0.701509263,0,0,0.65741742,0.022356991,0.57656486,0.08875412,0.231471468,0.31129054,2001,841,region,3,0.258400468,0.258400468,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.463280225,Rémi
mono,0.385641986,0.255934886,0.76170724,NA,0,0.701509263,0,0,0.875147979,0.020650826,0.687869947,0.041775184,0.062426011,0.163015392,2001,638,region,4,0.124978788,0.124978788,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.488322596,Rémi
oueme,0.38108868,0.440732572,0.689491231,NA,0,0.701509263,0,0,0.677111569,0.214550724,0.665693598,0.022835942,0.085501765,0.351624645,2001,720,region,5,0.209652966,0.209652966,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.475692016,Rémi
zou,0.391507079,0.529250838,0.634137479,NA,0,0.701509263,0,0,0.742445367,0.100864547,0.568134951,0.018279119,0.138410968,0.182942954,2001,832,region,6,0.246636525,0.246636525,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.466010645,Rémi
benin,0.412602168,0.485293981,0.654668815,NA,0,0.701509263,0,0,0.678837104,0.109581619,0.57239685,0.039621941,0.171959336,0.322125478,2001,4740,country,NA,0.227894818,0.227894818,Benin,bjkr41fl.dta,0,0.701509263,TRUE,FALSE,0.469601576,Rémi
alibori,0.237990463,0.797257071,0.499309921,NA,0.006309036,0.610398846,0.011368617,0.009094893,0.786428979,0.006606578,0.739774309,0.084803524,0.122160919,0.166053898,2006,1224,region,1,0.354530094,0.352729892,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.4446873,Rémi
atacora,0.355600688,0.525677836,0.500955384,NA,0.006309036,0.610398846,0.01136446,0.009091568,0.854233869,0.020847177,0.818767441,0,0.124918954,0.376016324,2006,1385,region,2,0.233914338,0.232726565,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.444976603,Rémi
atlantique,0.35307306,0.437369634,0.784529596,NA,0.006309036,0.610398846,0.0106909,0.00855272,0.636201986,0.159795786,0.455707884,0.019682034,0.184320194,0.345277362,2006,1626,region,3,0.216418698,0.215323293,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.494818755,Rémi
borgou,0.241431345,0.614857064,0.640958884,NA,0.006309036,0.610398846,0.01102163,0.008817304,0.586479192,0.200113893,0.438211982,0.064338991,0.149067924,0.43300841,2006,1510,region,4,0.288729455,0.287263501,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.469587928,Rémi
collines,0.405101293,0.642646536,0.69481207,NA,0.006309036,0.610398846,0.010895203,0.008716162,0.759300269,0.079809104,0.685556344,0.041045197,0.119845431,0.220218326,2006,1002,region,5,0.307861648,0.306299883,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.479052841,Rémi
couffo,0.29473617,0.707734827,0.404637265,NA,0.051881199,0.418057739,0.137665056,0.087490589,0.68091237,0.138711713,0.573260101,0.057058633,0.123317283,0.21414874,2006,1233,region,6,0.317977822,0.317977822,Benin,bjkr51fl.dta,0.006309036,0.610398846,FALSE,FALSE,0.449289494,Rémi
donga,0.36219113,0.739322478,0.518759603,NA,0.006309036,0.610398846,0.011319684,0.009055747,0.807659286,0.073095275,0.800192502,0.056314194,0.062931246,0.321012286,2006,773,region,7,0.331295466,0.32961292,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.448106849,Rémi
littoral,0.24076781,0.755915914,0.507075754,NA,0.006309036,0.610398846,0.011349028,0.009079223,0.37422565,0.373272763,0.341289952,0.021957129,0.230544458,1,2006,975,region,8,0.337178312,0.335466071,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.44605267,Rémi
mono,0.178807798,0.628441689,0.640718634,NA,0.038109356,0.361086805,0.124926396,0,0.830447167,0.057916203,0.760279183,0.04473244,0.06690419,0.166994614,2006,973,region,9,0.306722803,0.306722803,Benin,bjkr51fl.dta,0.006309036,0.610398846,FALSE,FALSE,0.488068834,Rémi
oueme,0.210849262,0.633576006,0.713944466,NA,0.006309036,0.610398846,0.010850983,0.008680786,0.639957252,0.165189148,0.500679553,0.049547709,0.145305891,0.396453501,2006,1725,region,10,0.305646685,0.304096771,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.482415183,Rémi
plateau,0.242180638,0.558052065,0.685632975,NA,0.006309036,0.610398846,0.010916546,0.008733237,0.579557342,0.109646885,0.551195022,0.014307954,0.296487819,0.262133156,2006,735,region,11,0.266436184,0.265084334,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.477439653,Rémi
zou,0.341304207,0.697006938,0.478147815,NA,0.006309036,0.610398846,0.011422341,0.009137872,0.747311631,0.093701029,0.657179277,0,0.15898734,0.265118389,2006,1521,region,12,0.307356713,0.305796497,Benin,bjkr51fl.dta,0.006309036,0.610398846,TRUE,TRUE,0.440966504,Rémi
benin,0.285757522,0.632381317,0.582566929,NA,0.006309036,0.610398846,0.00954727,0.011934934,0.688827565,0.125051006,0.595021767,0.037335567,0.148785862,0.347010273,2006,14682,country,NA,0.290447652,0.290447652,Benin,bjkr51fl.dta,0.006309036,0.610398846,FALSE,FALSE,0.459291956,Rémi
alibori,0.065391515,0.477035634,0.825611791,0.214356762,0.278495463,0.444736668,0.40187735,0.298405844,0.802371675,0,0.802371675,0.106461701,0.091166624,0.23313923,2012,935,region,1,0.283847734,0.283847734,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.595024174,Rémi
atacora,0.078121949,0.530906348,0.90913847,0.360574175,0.322544421,0.46218854,0.40790835,0.456451135,0.825412186,0,0.807142699,0.026876341,0.147711473,0.356561655,2012,1318,region,2,0.328118324,0.328118324,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.618034282,Rémi
atlantique,0.091260929,0.515824201,0.663763825,0.156948541,0.1857187,0.258007471,0.430304134,0.383364705,0.461479941,0.175918202,0.392517969,0.029241607,0.333360249,0.379710464,2012,1484,region,3,0.292855376,0.292855376,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.567742606,Rémi
borgou,0.070128703,0.544725092,0.804835935,0.183376066,0.310899896,0.209185702,0.663987406,0,0.46772063,0.099318752,0.46772063,0.053218383,0.379742235,0.458463884,2012,1082,region,4,0.346146282,0.346146282,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.635451326,Rémi
collines,0.093605624,0.613853021,0.660243428,0.192215079,0.217656515,0.426094199,0.352911133,0.29940735,0.601572265,0.069268157,0.601572265,0.10008632,0.229073259,0.222246429,2012,856,region,5,0.336856479,0.336856479,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.548757549,Rémi
couffo,0.093819933,0.580542541,0.627382607,0.255703776,0.21059152,0.293310132,0.412561175,0.430016423,0.568052441,0.043725779,0.529174995,0.052052676,0.336169103,0.230410783,2012,961,region,6,0.324939588,0.324939588,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.559717101,Rémi
donga,0.082264978,0.444703536,0.72215508,0.284219032,0.295440663,0.190026952,0.573157811,1,0.605899571,0.071809599,0.605899571,0.035716234,0.286574596,0.312143537,2012,701,region,7,0.283197393,0.283197393,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.636822895,Rémi
littoral,0.150760324,0.649617048,0.721393254,0.266840894,0.117130364,0.343148152,0.246908356,0.268463746,0.42882613,0.324442147,0.402286288,0.045156268,0.201575454,1,2012,1036,region,8,0.351137895,0.351137895,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.540530603,Rémi
mono,0.130509474,0.462630714,0.907578018,0.452370338,0.073750852,0.617023755,0.114076132,0,0.427717143,0.172035429,0.356390318,0.179823601,0.220423828,0.236075364,2012,750,region,9,0.250226873,0.250226873,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.540878212,Rémi
oueme,0.068871332,0.563399859,0.63523901,0.020859822,0.196242875,0.315079747,0.515133709,0.061871919,0.624350602,0.117916239,0.624350602,0.019394985,0.238338174,0.418110483,2012,1490,region,10,0.312979329,0.312979329,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.555519004,Rémi
plateau,0.045365669,0.534616336,0.364662073,0.068312167,0.18998407,0.324797938,0.422778806,0.338223045,0.882398991,0,0.773396127,0,0.117601009,0.253091369,2012,804,region,11,0.265027899,NA,Benin,bjkr61fl.dta,0.18998407,0.324797938,TRUE,TRUE,0.495734756,Rémi
zou,0.108403168,0.529243035,0.530247345,0.207702294,0.133127625,0.202986551,0.419630976,0.347837021,0.559954263,0.076179775,0.531981699,0,0.363865962,0.29446801,2012,1262,region,12,0.282498775,0.282498775,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.533778918,Rémi
benin,0.090691901,0.55323274,0.698436213,0.221261088,0.18998407,0.324797938,0.393723335,0.284190364,0.557886454,0.141010471,0.529514719,0.053387926,0.247715149,0.40096423,2012,12679,country,NA,0.311843639,0.311843639,Benin,bjkr61fl.dta,0.18998407,0.324797938,FALSE,FALSE,0.563675315,Rémi
alibori,0.225220094,0.165266091,0.614423514,0.466508806,0.368336465,0.150890247,0.759017262,0.51218531,0.834489774,0.034701201,0.808307393,0,0.130809025,0.211550205,2018,1534,region,1,0.102134252,0.102134252,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.617998835,Rémi
atacora,0.161579425,0.426362094,0.722025114,0.484576735,0.096656049,0.183812045,0.270721091,1,0.730034598,0.060407627,0.696074429,0,0.209557774,0.343962825,2018,1227,region,2,0.247189989,0.247189989,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.579765399,Rémi
atlantique,0.274320926,0.59194322,0.54336334,0.191583454,0.062997955,0.15391478,0.403613369,0,0.464719842,0.382555896,0.384853205,0,0.152724261,0.407055488,2018,1198,region,3,0.300362457,0.300362457,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.507417683,Rémi
borgou,0.127682699,0.502737509,0.666725868,0.360954672,0.169545817,0.116331549,0.600719514,0.511508081,0.809329997,0.159501369,0.710819265,0,0.031168634,0.375378383,2018,1643,region,4,0.30433166,0.30433166,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.605349022,Rémi
collines,0.166179465,0.773329518,0.648885531,0.250530896,0.14429432,0.267983897,0.390760056,0.079050823,0.786395259,0.122137923,0.771633218,0,0.091466818,0.212449169,2018,993,region,5,0.41724623,0.41724623,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.5395452,Rémi
couffo,0.166855566,0.600335593,0.589027693,0.257370104,0.01833008,0.138914166,0.15155912,0,0.867203454,0.046587943,0.789428706,0,0.086208603,0.304100517,2018,831,region,6,0.289024923,0.289024923,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.481438926,Rémi
donga,0.163039047,0.844193021,0.583330532,0.527156159,0.150422198,0.143558941,0.529448019,0.4730358,0.849128662,0.056553682,0.814428789,0,0.094317656,0.442990609,2018,917,region,7,0.482331283,0.482331283,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.571351895,Rémi
littoral,0.190937106,0.608577652,0.379046413,0.206106863,0.058334261,0.163637981,0.371968845,0.058323192,0.403995717,0.418659433,0.243824109,0,0.17734485,1,2018,813,region,8,0.282616602,0.282616602,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.464388728,Rémi
mono,0.209144272,0.433742563,0.683686833,0.346452321,0.101725924,0.117578506,0.374675157,1,0.798178575,0.079148067,0.712556269,0,0.122673357,0.454082238,2018,622,region,9,0.258267849,0.258267849,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.59544041,Rémi
oueme,0.188640001,0.599802785,0.453804549,0.156084805,0.04601871,0.176822984,0.181932284,0.231296949,0.473509098,0.472017745,0.356235966,0,0.054473157,0.588643281,2018,968,region,10,0.286432606,0.286432606,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.477544642,Rémi
plateau,0.308399346,0.468180478,0.650870741,0.278112138,0.015341536,0.270777891,0.03469967,0.10220727,0.646921495,0.262573652,0.56676459,0,0.090504853,0.425427989,2018,746,region,11,0.225153545,0.225153545,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.480911861,Rémi
zou,0.165500999,0.693321197,0.657659208,0.326970464,0.129658548,0.147885375,0.468065719,0.463306504,0.654017862,0.191117384,0.475263089,0,0.154864754,0.303053004,2018,1159,region,12,0.400416156,0.400416156,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.577533411,Rémi
benin,0.194385736,0.519493282,0.593271213,0.301731241,0.103436463,0.170573525,0.411318894,0.26667357,0.678802599,0.205586165,0.59565365,0,0.115611236,0.38941721,2018,12651,country,NA,0.281081616,0.281081616,Benin,bjkr71fl.dta,0.103436463,0.170573525,FALSE,FALSE,0.541068818,Rémi
alibori,0.291,0.778,0.613,0.195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.462928808,NA,NA,NA,NA,NA,NA,NA,0.595024174,MICS
atacora,0.093,0.55,0.461,0.291,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.339918855,NA,NA,NA,NA,NA,NA,NA,0.618034282,MICS
atlantique,0.232,0.622,0.432,0.128,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.353135901,NA,NA,NA,NA,NA,NA,NA,0.567742606,MICS
borgou,0.222,0.641,0.439,0.17,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.4073243,NA,NA,NA,NA,NA,NA,NA,0.635451326,MICS
collines,0.215,0.628,0.465,0.237,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.344619741,NA,NA,NA,NA,NA,NA,NA,0.548757549,MICS
couffo,0.202,0.432,0.336,0.123,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.241797788,NA,NA,NA,NA,NA,NA,NA,0.559717101,MICS
donga,0.262,0.727,0.58,0.295,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.462970245,NA,NA,NA,NA,NA,NA,NA,0.636822895,MICS
littoral,0.158,0.542,0.372,0.142,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.292967587,NA,NA,NA,NA,NA,NA,NA,0.540530603,MICS
mono,0.295,0.63,0.389,0.222,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.340753274,NA,NA,NA,NA,NA,NA,NA,0.540878212,MICS
oueme,0.184,0.493,0.311,0.15,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.273870869,NA,NA,NA,NA,NA,NA,NA,0.555519004,MICS
plateau,0.341,0.621,0.386,0.181,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.307851283,NA,NA,NA,NA,NA,NA,NA,0.495734756,MICS
zou,0.32,0.583,0.452,0.256,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.311193109,NA,NA,NA,NA,NA,NA,NA,0.533778918,MICS
benin,0.229,0.61,0.437,0.191,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,0.343841942,NA,NA,NA,NA,NA,NA,NA,0.563675315,MICS
